axle_description,weight_per_axle,description_summary,axle_count,group_count,approx_axle_length,axle_length,max_axle_width,axle_group_summary,axles_per_group,axle_group_tire_type,axle_group_width,axle_operating_weights,axle_group_weight,axle_group_max_width,axle_group_total_weight,axle_group_distance
vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,180677.9,vivamus metus,7,4,13.63,19.79,15.64,sit amet,3,2,35.91,69003.36,99005.43,47.92,71408.01,34.7
sollicitudin ut suscipit a feugiat et eros vestibulum,137533.81,tortor quis turpis sed,9,8,9.76,10.99,14.98,nulla integer pede justo lacinia,3,3,38.51,95070.83,91130.21,42.23,64079.26,43.91
dictumst aliquam augue quam sollicitudin,442941.06,magnis dis parturient,7,9,7.63,6.3,8.1,nisi eu orci mauris,3,2,42.02,41208.93,94140.46,41.83,68685.25,32.32
ipsum primis in faucibus orci luctus et ultrices posuere cubilia,412677.6,curae nulla dapibus dolor vel,3,2,16.24,17.9,17.25,tempus semper est,2,2,36.77,31135.73,30472.6,40.5,52779.36,48.6
nonummy maecenas tincidunt lacus at velit,215390.65,duis bibendum morbi non quam,10,9,19.81,11.82,18.34,vestibulum sagittis sapien cum,3,3,37.69,27739.32,35986.37,38.11,51802.9,21.66
convallis tortor risus dapibus augue vel accumsan,228728.46,sapien arcu,8,8,7.66,9.78,19.96,sollicitudin mi,3,3,24.84,27032.69,27660.11,24.4,27424.75,48.02
ac tellus semper interdum mauris ullamcorper,456744.85,sem mauris laoreet ut rhoncus,7,5,12.89,18.26,10.21,leo maecenas pulvinar lobortis,2,2,21.33,18824.62,62716.22,28.34,11666.57,23.83
mauris sit amet eros suspendisse accumsan tortor quis turpis sed,134634.15,justo sollicitudin,8,4,19.31,12.25,8.19,consequat metus,3,4,28.97,46331.64,29388.73,35.54,86909.39,37.54
ante vel ipsum praesent blandit lacinia erat,250063.59,in lacus,6,5,8.84,13.17,6.09,dictumst aliquam augue quam sollicitudin,3,4,33.99,62903.03,83887.87,46.77,75459.79,46.91
molestie hendrerit at vulputate vitae nisl,222007.66,eu interdum eu tincidunt,7,6,13.96,11.65,11.02,molestie hendrerit at,4,3,28.42,87917.83,92881.52,41.17,45760.26,25.37
at turpis donec posuere metus vitae ipsum aliquam non mauris,112729.86,amet nunc,3,2,13.8,13.01,13.9,magna ac consequat metus,4,3,22.93,27041.02,19575.58,20.35,38720.81,40.55
turpis enim blandit mi in porttitor pede justo eu massa,301387.52,cursus urna,3,4,11.93,10.42,14.36,ligula vehicula consequat,3,4,45.16,34922.01,81274.2,27.66,25197.51,33.96
nunc purus phasellus in felis donec semper sapien a,251063.45,tempus vivamus in,3,3,17.44,7.44,12.65,nulla nunc,3,4,32.19,76847.99,29040.42,32.98,49423.48,37.93
sapien varius ut blandit non interdum in ante,209695.16,quisque porta,8,7,19.87,7.87,10.65,lobortis convallis tortor,3,3,29.75,36633.1,56500.55,25.51,76976.4,39.86
suspendisse accumsan tortor quis turpis sed ante vivamus tortor,235180.45,feugiat et eros vestibulum ac,4,6,15.8,12.28,8.23,quam sollicitudin vitae consectetuer eget,2,4,35.07,64329.79,25456.65,29.36,56728.68,46.74
nullam varius nulla facilisi cras non velit,477759.78,ut erat curabitur gravida,8,5,15.36,7.43,7.91,dignissim vestibulum,3,2,47.74,31648.97,87758.79,26.07,10099.26,24.12
commodo placerat praesent blandit nam nulla,454628.58,tortor id nulla,6,7,19.22,8.82,8.84,non mattis pulvinar,3,4,26.46,79600.72,67500.91,34.13,15843.76,29.91
ac est lacinia nisi venenatis tristique fusce,223661.11,mi in porttitor pede,4,6,11.83,17.7,19.45,arcu adipiscing,2,4,23.96,31594.6,68452.96,48.48,44610.54,29.83
molestie lorem quisque ut erat curabitur gravida nisi at,425830.93,maecenas leo,4,9,14.47,19.77,19.02,nulla suspendisse potenti cras,3,4,33.15,45398.12,40593.26,35.18,20947.79,38.03
nisi nam ultrices libero non mattis pulvinar,498452.78,vel nulla eget eros,9,6,11.71,12.04,12.88,urna ut,4,2,22.81,78528.72,49064.19,40.69,87998.23,43.81
venenatis non sodales sed tincidunt eu felis,347167.5,dui luctus rutrum nulla tellus,10,5,16.83,10.67,18.08,in felis,3,3,44.88,84490.06,67167.91,36.6,21117.58,30.32
sodales sed tincidunt eu felis fusce posuere felis sed,168188.11,justo morbi,4,6,18.85,6.63,13.23,posuere cubilia curae mauris,2,4,21.96,35399.68,11550.02,29.79,69559.05,31.1
orci mauris lacinia sapien quis libero nullam,453807.49,enim blandit mi in,3,4,13.47,7.22,7.74,id nulla,3,3,49.02,14966.29,51021.19,47.2,39038.08,32.93
sapien sapien non mi integer,267042.82,elit sodales,10,10,17.92,8.11,11.15,rutrum nulla,3,2,27.58,51842.43,42880.96,22.12,73339.28,46.83
convallis eget eleifend luctus ultricies eu nibh quisque,240737.46,elementum in hac,10,2,12.67,8.13,19.65,ac leo pellentesque,3,3,21.7,93130.94,80019.75,27.84,89890.97,40.1
elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,332534.56,dolor sit amet,9,8,12.6,16.43,17.0,ultrices aliquet,2,3,30.61,52409.78,59529.37,46.56,72116.8,32.78
enim leo rhoncus sed vestibulum sit amet,494138.07,diam neque vestibulum eget vulputate,4,8,6.86,14.67,11.64,varius integer ac,2,4,35.55,82863.17,82051.77,49.82,39051.96,49.68
quam nec dui luctus rutrum nulla tellus in,268638.37,erat volutpat,10,7,14.75,16.72,7.65,quisque ut,2,3,41.62,88188.38,22031.96,25.87,18489.53,49.4
ut blandit non interdum in ante vestibulum,283508.02,interdum in ante,6,10,18.73,19.25,16.24,in consequat,4,3,33.87,84102.35,14079.19,28.91,61040.79,32.57
lorem quisque ut erat curabitur gravida nisi at nibh in,444163.87,morbi vestibulum,10,6,19.06,8.6,8.46,eu tincidunt in,4,4,47.87,31608.03,82527.05,24.04,92759.05,39.29
nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,306117.7,et commodo vulputate justo,8,3,12.21,8.59,13.33,curae donec pharetra,4,2,22.36,27122.94,43314.58,41.35,22478.71,20.54
ultrices posuere cubilia curae nulla dapibus dolor vel,131574.69,cras mi pede,6,7,7.86,7.71,9.67,nec sem duis aliquam,3,4,33.68,70050.57,57340.07,29.76,16907.13,31.52
pede posuere nonummy integer non velit donec,429818.67,id pretium iaculis diam erat,3,4,16.21,10.76,12.23,pede lobortis ligula sit,2,2,47.31,21537.99,27335.36,32.0,27878.23,40.04
morbi vel lectus in quam fringilla rhoncus mauris,358452.97,donec ut dolor morbi vel,4,2,17.33,7.73,19.31,aliquam non,4,4,47.9,22325.41,58813.41,31.24,60646.88,46.2
pede libero quis orci nullam molestie nibh,213541.89,velit nec nisi vulputate nonummy,7,9,16.02,19.66,11.49,pede justo eu massa donec,3,3,21.79,53307.26,45654.17,23.37,22539.7,32.44
neque sapien placerat ante nulla justo,196279.95,quam sapien,7,8,16.9,14.95,16.35,porta volutpat quam pede lobortis,3,2,26.7,29674.5,81547.36,45.59,59372.98,37.66
sed vestibulum sit amet cursus id turpis integer,453849.9,blandit lacinia erat,8,10,11.11,7.26,7.6,lectus suspendisse potenti in,2,2,23.08,87417.5,92618.88,36.46,37552.39,44.6
nonummy integer non velit donec diam neque vestibulum eget vulputate,338651.19,maecenas leo odio condimentum,9,4,11.43,8.8,15.46,eget nunc donec quis orci,4,2,36.2,93994.69,59691.7,49.02,37459.09,34.87
ornare imperdiet sapien urna pretium nisl ut volutpat sapien,464582.43,id luctus,5,10,19.06,18.09,14.06,iaculis diam erat fermentum justo,4,4,36.04,92102.65,60856.69,46.86,78348.88,23.92
sed lacus morbi sem mauris,185583.43,felis sed interdum,4,4,17.08,15.04,11.46,mauris lacinia sapien,4,3,26.87,90393.53,51787.87,32.37,77859.46,44.54
eros suspendisse accumsan tortor quis turpis sed,415364.7,a nibh in quis,5,3,7.69,9.89,7.91,pretium iaculis diam,3,3,49.34,22735.71,16002.78,28.63,42601.95,30.7
justo sollicitudin ut suscipit a,151582.37,rutrum neque aenean auctor,7,7,16.43,11.36,8.03,tempor turpis,4,4,33.49,54419.59,96209.04,47.07,69557.11,32.32
eget massa tempor convallis nulla,389714.37,velit nec nisi,10,7,10.59,16.22,19.96,ridiculus mus etiam vel augue,4,3,35.82,35819.2,42498.63,45.58,66240.97,41.1
a libero nam dui proin leo,404170.37,ac nulla sed,7,2,16.22,8.34,14.27,curae nulla dapibus dolor vel,4,2,37.95,48189.15,15961.52,34.21,26682.9,26.5
ut mauris eget massa tempor convallis nulla neque,266204.0,volutpat dui,6,8,12.12,16.7,19.19,integer tincidunt ante vel,4,4,20.03,66758.35,80511.95,44.11,89881.56,43.15
justo eu massa donec dapibus duis at,183248.55,lobortis est phasellus,4,6,11.3,15.64,16.3,et ultrices posuere cubilia,3,2,40.58,87664.08,42230.06,24.65,35607.22,29.27
in sapien iaculis congue vivamus metus arcu adipiscing,338747.71,praesent blandit nam,5,8,11.49,17.11,7.74,ultrices aliquet maecenas leo odio,3,4,24.61,58176.37,43842.45,48.04,74960.0,25.63
tristique in tempus sit amet sem fusce consequat,472077.88,amet consectetuer adipiscing elit proin,6,9,13.71,14.49,8.64,curae nulla,3,2,35.65,53154.06,92265.02,23.08,13717.65,40.34
montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,177956.84,semper porta volutpat,9,5,13.78,16.42,14.45,lacinia sapien quis libero nullam,2,2,26.16,88853.29,65594.26,42.4,25852.25,24.94
amet eros suspendisse accumsan tortor quis turpis,391671.77,nulla quisque arcu libero,7,3,17.69,18.23,16.61,vivamus in felis eu sapien,4,3,35.04,67258.35,73862.28,24.77,87991.63,37.37
enim sit amet nunc viverra dapibus,253095.25,dictumst etiam,6,4,12.62,13.2,19.75,convallis nunc proin at turpis,4,3,24.2,62647.61,44352.17,21.71,28040.72,46.81
integer tincidunt ante vel ipsum praesent blandit lacinia,387567.39,fusce lacus,3,7,11.1,17.5,13.37,sed tristique in tempus,3,4,45.34,42671.54,33956.22,35.79,65209.0,20.15
morbi ut odio cras mi pede malesuada in imperdiet et,126619.61,id ligula,5,8,14.34,8.86,9.9,penatibus et,3,4,44.27,72627.25,96742.44,40.28,59854.82,32.48
pellentesque ultrices mattis odio donec vitae,215628.75,id lobortis convallis,6,2,13.13,17.05,8.32,in sagittis dui vel nisl,3,2,20.06,84698.2,60737.11,21.12,53319.75,20.74
in congue etiam justo etiam pretium iaculis justo in hac,234467.96,amet sapien,3,7,7.23,9.54,16.1,dui vel sem,3,3,46.7,77626.24,28065.03,40.93,53424.91,39.44
dictumst maecenas ut massa quis augue luctus tincidunt,288409.87,diam in,8,7,14.33,16.33,8.93,orci luctus et ultrices posuere,4,3,36.25,67407.36,20203.17,23.05,16443.04,22.58
imperdiet et commodo vulputate justo,288593.18,scelerisque mauris sit,7,4,6.48,7.8,13.77,in hac habitasse platea,2,3,30.07,78347.13,99531.37,20.74,91855.88,33.97
luctus nec molestie sed justo,470529.01,dictumst etiam faucibus,9,4,12.62,15.77,14.1,nec condimentum neque sapien,3,4,31.16,22609.4,82784.39,29.33,20029.07,20.79
in lectus pellentesque at nulla suspendisse,139434.22,sapien dignissim,10,9,19.0,15.65,15.18,lorem ipsum dolor sit,2,4,22.59,11358.25,99853.09,24.25,27434.97,21.06
luctus rutrum nulla tellus in sagittis dui vel nisl,426973.04,nunc commodo placerat,4,6,11.37,16.01,7.95,fermentum donec ut mauris eget,3,3,27.51,54165.37,56320.6,23.04,35226.89,39.2
nunc donec quis orci eget orci vehicula,375716.57,amet consectetuer adipiscing,9,8,18.73,9.69,15.09,a odio in hac habitasse,3,2,25.77,36519.37,47394.54,20.33,68414.34,24.03
metus aenean fermentum donec ut,384602.67,nec nisi volutpat eleifend,8,9,19.49,10.08,10.94,ornare consequat,3,3,24.31,12336.01,19217.4,43.14,72544.52,32.12
cum sociis natoque penatibus et magnis dis parturient,236956.09,ante vel,5,5,8.41,13.02,10.97,proin eu mi nulla ac,2,4,25.76,19061.73,79026.56,29.56,15938.94,28.51
consequat nulla nisl nunc nisl duis bibendum felis,421459.95,pellentesque ultrices,7,9,9.18,15.46,16.89,maecenas tristique est et,3,3,38.5,37038.71,44282.97,38.41,90887.93,36.17
interdum mauris non ligula pellentesque ultrices,201318.55,ut mauris eget massa,6,4,16.47,16.6,7.74,nulla neque libero convallis,2,2,21.94,38397.09,55001.52,36.31,75584.7,49.62
convallis tortor risus dapibus augue vel accumsan tellus,411826.64,dui vel nisl duis ac,4,4,8.11,17.25,6.56,nulla nisl nunc nisl duis,3,2,38.08,84956.15,10558.98,26.92,80211.88,43.23
erat tortor sollicitudin mi sit amet lobortis,112038.75,ultrices posuere cubilia curae donec,3,4,9.77,11.12,17.03,dui luctus rutrum nulla tellus,2,2,35.41,31250.42,74790.45,46.82,85873.99,21.5
rhoncus dui vel sem sed sagittis nam,326932.36,in faucibus orci luctus,5,9,11.38,11.81,13.7,amet sem,2,2,32.42,17018.83,28589.09,40.68,95018.06,20.23
integer aliquet massa id lobortis convallis tortor,201852.11,interdum mauris ullamcorper,10,3,19.39,6.4,15.45,convallis duis consequat dui nec,4,4,29.06,59728.46,36960.84,29.61,78373.06,44.73
integer ac neque duis bibendum morbi non quam nec dui,478083.0,orci pede venenatis,3,6,16.06,13.92,12.88,nisl aenean,4,4,35.52,17524.37,66959.12,22.69,60117.72,38.39
lacinia aenean sit amet justo morbi ut odio,240867.26,pede ac diam,7,7,17.89,13.76,8.26,luctus et ultrices posuere cubilia,4,4,25.3,85524.48,54410.95,40.28,44853.51,45.71
rutrum ac lobortis vel dapibus,217601.0,iaculis congue vivamus,9,5,9.78,6.81,6.8,massa donec dapibus duis at,3,2,40.16,69786.4,42906.72,40.21,44807.38,45.56
vel dapibus at diam nam tristique tortor eu,234090.02,varius nulla facilisi cras,9,6,18.38,7.82,19.85,eget eros,3,2,21.89,30463.16,31803.53,34.68,89800.69,35.7
porttitor lacus at turpis donec posuere metus vitae ipsum,428567.44,at lorem,10,6,6.64,15.78,18.45,fermentum justo nec condimentum,3,3,24.61,73602.75,89927.39,37.06,86850.98,31.41
lectus in quam fringilla rhoncus mauris enim leo,282231.82,tincidunt nulla,6,8,6.97,6.9,10.21,fusce lacus purus,3,4,34.64,68999.95,35541.08,42.77,40159.3,27.47
suscipit ligula in lacus curabitur at ipsum ac tellus,484675.49,et commodo vulputate justo,4,4,15.37,11.04,17.67,mauris enim leo rhoncus,3,4,46.7,41972.43,37699.21,28.34,45125.0,45.85
donec ut mauris eget massa tempor convallis nulla neque,226852.81,libero nullam sit,10,7,14.71,19.39,6.38,vivamus metus arcu,4,4,39.32,90293.91,18182.86,24.63,97044.04,26.23
amet turpis elementum ligula vehicula consequat morbi,471373.16,nam congue,8,4,6.09,12.88,12.91,maecenas leo,2,2,30.42,90075.43,84728.96,26.15,10668.13,41.54
felis donec semper sapien a libero nam,281382.0,curae duis,7,5,12.98,13.92,9.34,scelerisque mauris sit amet eros,4,3,47.85,34810.03,86847.94,34.05,18288.07,31.4
suspendisse accumsan tortor quis turpis sed,390978.05,eget vulputate,7,6,9.24,11.08,12.94,gravida sem praesent id massa,2,3,30.45,16436.46,51362.22,25.27,96082.82,35.07
auctor sed tristique in tempus sit amet,168707.84,orci vehicula condimentum,4,8,13.42,14.19,18.25,morbi sem mauris laoreet,4,4,22.23,65451.18,42523.23,20.2,61892.39,20.93
at velit vivamus vel nulla eget eros,104572.63,platea dictumst aliquam augue,3,2,7.58,18.57,14.78,aliquam augue,4,4,22.06,39185.98,99244.92,41.72,71368.28,35.45
duis ac nibh fusce lacus purus aliquet at feugiat,485817.75,nec sem duis aliquam,10,5,15.45,17.35,11.99,massa quis augue,3,4,30.07,61345.37,72097.7,22.44,80060.15,38.89
quisque erat eros viverra eget congue eget semper,388898.5,vulputate vitae nisl aenean,6,8,13.26,14.39,15.64,potenti in,4,4,46.07,52627.55,35743.93,25.4,44918.23,45.42
neque duis bibendum morbi non quam nec dui,335898.19,morbi non lectus,4,9,7.05,19.23,16.86,massa id lobortis,4,4,33.69,90708.47,95002.73,41.61,23042.36,33.54
mattis nibh ligula nec sem duis aliquam convallis,235675.48,volutpat dui maecenas tristique,5,8,11.11,11.93,7.15,nibh in lectus pellentesque,3,2,31.05,45732.39,74442.84,32.23,26153.66,23.8
quam a odio in hac habitasse platea dictumst,295729.91,posuere metus vitae ipsum aliquam,8,8,19.31,14.98,18.82,imperdiet sapien urna pretium,4,2,45.66,36004.21,12678.11,40.9,32308.12,32.82
morbi quis tortor id nulla ultrices,486213.84,quam sollicitudin vitae,5,7,7.51,12.34,13.91,volutpat erat,2,3,47.15,22292.3,88388.25,42.8,48415.76,41.17
sit amet cursus id turpis integer aliquet massa id lobortis,322297.27,porttitor pede,3,6,13.97,18.07,13.51,tristique est et tempus semper,2,3,37.44,66739.63,92114.07,40.35,27486.53,22.03
nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,451575.55,consequat in consequat ut nulla,3,10,15.02,18.41,6.36,eget tempus vel,3,3,46.29,35539.73,80766.8,49.51,97564.69,32.24
fermentum donec ut mauris eget,483721.8,blandit ultrices enim lorem,4,5,7.26,10.2,16.61,vitae consectetuer,3,2,20.31,80443.45,68012.47,37.15,29573.16,29.25
sollicitudin mi sit amet lobortis sapien sapien,465820.77,blandit nam,7,2,6.02,14.42,12.6,enim in tempor turpis,2,2,34.64,47062.6,99022.36,40.73,60524.34,26.46
lacinia nisi venenatis tristique fusce congue,462156.99,sollicitudin ut suscipit a feugiat,8,5,9.17,16.85,17.77,cursus id turpis integer aliquet,4,3,22.49,55957.9,18225.6,40.08,22113.39,28.09
tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,447446.48,faucibus orci luctus et ultrices,8,4,8.28,10.8,17.24,lectus aliquam sit,4,3,20.47,41980.51,69671.2,38.65,27995.31,36.55
erat id mauris vulputate elementum nullam varius nulla facilisi cras,312996.35,ligula in,9,4,13.1,15.08,17.66,ac enim in tempor,4,4,41.81,80085.61,85858.54,40.43,71388.72,47.8
mauris sit amet eros suspendisse accumsan tortor quis turpis,496246.13,nonummy integer,10,5,15.41,6.57,19.79,erat volutpat in congue,2,3,26.18,89549.09,37274.98,23.4,45505.6,32.4
morbi non lectus aliquam sit amet diam in magna bibendum,158686.03,maecenas tristique est,10,7,10.39,12.29,11.59,quisque erat,4,3,38.91,22938.85,70347.05,40.85,26412.64,39.1
duis bibendum felis sed interdum venenatis turpis enim blandit mi,493028.92,morbi non,8,10,16.59,11.18,12.0,convallis tortor risus,4,4,20.52,13884.81,87669.32,36.99,33304.43,36.46
donec dapibus duis at velit eu,193302.88,nisl ut volutpat sapien arcu,10,8,6.74,9.7,8.68,aliquam convallis nunc proin,3,4,23.25,41844.33,29687.61,39.38,95841.42,42.81
sapien iaculis congue vivamus metus arcu,186618.64,augue vestibulum,5,2,13.22,17.7,15.69,mollis molestie lorem quisque ut,2,2,49.57,85933.72,35413.76,42.35,22672.25,38.5
duis faucibus accumsan odio curabitur convallis duis consequat,472507.7,at feugiat,6,3,17.36,12.66,18.13,vulputate justo in blandit,3,3,33.11,22612.63,24096.4,49.2,15940.98,32.48
pede lobortis ligula sit amet eleifend pede libero quis orci,318247.52,morbi odio,7,5,16.4,6.3,6.65,nec nisi volutpat eleifend,2,4,40.06,64978.0,33653.56,46.72,56985.86,43.63
scelerisque quam turpis adipiscing lorem,325951.34,sit amet sapien dignissim,5,5,7.1,13.53,13.22,pretium quis lectus suspendisse potenti,3,4,35.03,24898.58,97087.53,43.06,68291.5,33.26
ut at dolor quis odio,318254.61,sociis natoque penatibus,3,8,12.8,8.52,6.28,nisl nunc rhoncus dui,2,2,48.93,73386.69,20605.91,36.17,40224.74,49.35
ac consequat metus sapien ut nunc,100209.09,a odio in,8,7,7.49,16.2,17.76,in felis,3,4,45.74,65185.92,26738.51,27.23,71096.35,32.25
interdum mauris non ligula pellentesque ultrices,236605.34,mauris viverra diam,7,6,7.56,13.26,16.51,ultricies eu nibh,2,4,27.38,67133.42,23287.88,34.52,66758.94,23.58
curabitur in libero ut massa volutpat convallis,325397.0,lobortis sapien sapien non,10,2,19.97,15.05,18.75,pede morbi porttitor,4,4,37.95,68059.28,34017.25,46.32,65537.64,46.38
sagittis nam congue risus semper porta,377011.89,sit amet,3,2,6.03,7.84,11.0,rutrum neque aenean,2,2,39.73,86491.01,91610.19,38.55,27636.98,26.81
sed justo pellentesque viverra pede ac,430445.3,penatibus et,6,3,10.29,7.37,9.64,sit amet nunc viverra dapibus,3,4,35.17,40927.07,85755.22,44.56,40999.17,44.32
pede venenatis non sodales sed tincidunt,134160.38,ligula in,6,6,16.94,9.57,12.94,vitae nisl,4,4,44.47,39760.4,64741.28,45.27,43195.9,48.15
orci luctus et ultrices posuere cubilia curae duis,103285.02,a ipsum,8,4,17.55,19.05,10.11,orci luctus et,2,3,26.3,64069.95,93761.65,43.34,39162.17,42.6
duis faucibus accumsan odio curabitur,489854.23,elementum nullam,10,7,6.6,11.58,13.05,semper interdum mauris ullamcorper,3,2,23.51,97067.44,98159.14,38.5,55855.25,30.86
non interdum in ante vestibulum ante ipsum,423738.03,nibh in lectus pellentesque,8,4,17.31,17.08,12.77,sed vestibulum,3,2,21.32,74508.46,41463.71,31.07,84199.49,20.39
mauris sit amet eros suspendisse accumsan tortor quis turpis,194801.5,mus vivamus vestibulum sagittis sapien,9,7,10.01,7.91,11.67,donec pharetra,4,2,47.72,64241.79,55380.15,24.73,56106.03,36.7
convallis nulla neque libero convallis eget,158381.34,sem fusce consequat,7,4,18.04,14.83,19.73,suscipit a,3,4,41.61,15225.31,19816.43,29.25,15938.48,21.49
pulvinar nulla pede ullamcorper augue a suscipit nulla elit,135800.41,maecenas rhoncus,5,5,15.98,9.76,9.3,mus etiam vel,2,4,30.39,64304.51,98433.41,21.0,53351.53,37.73
etiam vel augue vestibulum rutrum,111313.35,in purus eu magna vulputate,7,10,8.73,13.1,11.25,praesent blandit lacinia erat vestibulum,4,4,30.97,21157.6,22163.7,21.58,45186.5,32.74
luctus tincidunt nulla mollis molestie lorem quisque,326671.98,fusce congue diam id,5,6,10.6,10.05,8.97,consequat lectus in est risus,3,4,33.54,44657.03,65695.58,37.76,53814.14,21.7
congue risus semper porta volutpat quam,380796.09,lectus suspendisse potenti,10,4,9.0,7.01,19.72,adipiscing elit proin,3,3,36.39,31370.69,90470.24,41.11,51159.91,30.7
quam turpis adipiscing lorem vitae mattis nibh ligula,357285.47,sapien ut nunc,8,7,11.62,9.31,9.87,primis in,3,2,48.25,97802.8,48877.76,20.38,10841.72,49.7
at nibh in hac habitasse platea dictumst,256313.83,pharetra magna ac consequat metus,9,7,11.22,16.58,14.27,ligula sit,4,3,42.72,13389.49,68227.81,48.02,14505.47,28.28
turpis elementum ligula vehicula consequat morbi,128603.98,justo morbi,5,5,8.34,11.75,8.04,ut blandit non interdum,4,4,20.56,97260.52,67526.63,36.28,93474.36,40.86
sed vel enim sit amet,257387.72,eu magna vulputate luctus,8,8,18.37,14.81,14.3,mauris ullamcorper purus sit amet,3,4,24.49,74664.95,68263.06,47.06,76415.71,43.98
suspendisse potenti nullam porttitor lacus at,118633.91,nisi vulputate,10,6,11.96,7.31,9.57,mauris enim leo rhoncus,3,2,41.89,77652.55,71181.48,47.54,21819.86,44.57
eget tempus vel pede morbi,470851.09,vehicula consequat,3,8,8.52,14.27,15.77,vel sem sed sagittis,4,4,49.17,56709.6,11308.69,44.86,94876.18,34.78
nisl venenatis lacinia aenean sit amet justo,254135.88,velit id pretium iaculis diam,5,2,11.34,13.44,18.37,eget tempus,2,4,31.88,72886.39,58944.81,25.18,22463.77,31.95
purus sit amet nulla quisque arcu libero rutrum ac,458293.05,platea dictumst morbi vestibulum velit,10,6,18.07,13.73,13.29,in tempus sit,4,2,41.0,44907.57,94553.9,38.05,44924.59,49.61
tellus nulla ut erat id mauris,197576.6,viverra pede ac diam,9,7,19.5,8.57,8.63,porttitor lorem id ligula suspendisse,4,3,36.34,95371.47,68344.85,36.26,16630.76,46.25
potenti cras in purus eu magna vulputate luctus cum,209416.09,potenti cras in purus,4,6,14.91,18.96,10.59,et eros vestibulum ac est,4,3,28.65,31711.65,67418.09,36.46,38060.15,26.63
nunc rhoncus dui vel sem sed sagittis,159957.66,at nulla,9,8,18.54,10.61,17.7,tortor risus dapibus augue,3,4,27.96,57965.86,16929.06,36.61,53147.75,28.89
consequat metus sapien ut nunc vestibulum ante ipsum primis in,245489.9,nulla nisl nunc nisl duis,10,6,10.52,12.87,18.46,vel ipsum,2,3,48.01,34044.42,79270.61,38.06,90095.34,45.89
tempus sit amet sem fusce consequat,126188.05,in felis donec semper sapien,6,4,6.52,13.39,12.61,id massa id nisl venenatis,4,3,39.48,57790.63,88067.22,33.15,54412.31,22.92
ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,391515.97,amet turpis elementum ligula vehicula,4,6,18.83,12.36,13.9,lectus pellentesque eget,3,3,31.18,14608.17,22432.83,26.87,16343.09,34.91
nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,394479.6,nascetur ridiculus mus etiam vel,6,6,12.73,11.64,13.45,eget tempus vel pede morbi,2,4,30.66,81917.73,98263.03,25.65,33124.49,47.17
nulla tempus vivamus in felis eu sapien cursus vestibulum proin,341663.66,nulla nunc purus phasellus,6,9,14.09,7.29,18.65,faucibus accumsan odio,4,3,21.81,69214.66,88923.09,33.13,94788.27,31.72
erat fermentum justo nec condimentum neque sapien placerat,358309.65,ultricies eu,4,6,19.97,19.1,6.15,nam dui proin,4,2,21.22,87420.4,93492.39,49.14,24331.82,38.4
erat fermentum justo nec condimentum neque sapien,149266.19,donec semper sapien,9,8,12.01,19.2,6.58,aliquet ultrices erat,3,3,24.57,46476.14,81192.53,46.72,75366.06,46.8
nulla quisque arcu libero rutrum ac lobortis vel dapibus at,188822.81,lobortis ligula sit amet,8,8,12.59,12.68,14.97,ipsum aliquam non mauris,4,4,20.4,24891.49,41970.5,23.53,55542.69,34.14
purus phasellus in felis donec semper,330772.63,curae duis faucibus accumsan,4,3,8.98,8.53,15.66,tortor sollicitudin mi sit,3,2,26.39,19455.18,53866.75,22.44,73041.42,32.09
non pretium quis lectus suspendisse potenti in eleifend quam a,303653.88,augue vestibulum rutrum rutrum,5,5,17.67,10.86,7.28,aliquet ultrices erat tortor sollicitudin,3,4,48.85,34898.93,82491.59,33.12,71920.85,24.14
eu mi nulla ac enim in tempor turpis,380347.86,accumsan tellus,4,3,8.11,16.47,19.38,mauris sit amet eros,2,4,44.14,21629.27,76775.4,31.43,66534.01,30.87
dignissim vestibulum vestibulum ante ipsum primis,476078.09,gravida nisi at,5,3,8.02,13.63,9.87,fermentum justo,2,2,29.9,56271.03,28062.63,26.48,14612.91,37.81
varius nulla facilisi cras non velit nec nisi vulputate nonummy,484355.7,nisl aenean,7,6,14.87,6.08,18.19,viverra eget congue eget semper,4,3,43.87,21795.11,75034.21,24.5,97891.7,36.94
aliquam lacus morbi quis tortor id nulla ultrices aliquet,187689.72,enim in tempor turpis,9,8,8.82,11.33,16.48,erat curabitur gravida,4,4,43.18,96238.14,89437.21,40.87,82451.46,49.5
a odio in hac habitasse platea,359659.79,lacinia nisi venenatis,10,8,8.59,12.43,10.61,purus sit,3,3,20.15,47823.77,61837.96,23.43,84006.79,32.81
sit amet nulla quisque arcu libero rutrum ac,409447.46,aliquam augue quam,9,4,12.17,9.49,8.28,cras mi,2,3,49.18,60360.85,83026.99,49.95,62430.34,24.27
porta volutpat erat quisque erat eros,149043.48,orci eget orci vehicula condimentum,6,4,19.32,7.31,18.54,pede ullamcorper augue a,4,3,27.51,89097.35,82058.88,44.15,80022.67,25.72
